,agriprod,Unit,Country,Year,Value,Description
126,Dairy,T,IE,2013,7012.0,Raw milk
127,Dairy,T,IE,2014,7703.0,Raw milk
128,Dairy,T,IE,2015,5978.0,Raw milk
129,Dairy,T,IE,2016,7335.0,Raw milk
130,Dairy,T,IE,2017,9035.0,Raw milk
131,Dairy,T,IE,2018,17791.0,Raw milk
132,Dairy,T,IE,2019,11037.0,Raw milk
133,Dairy,T,IE,2020,10722.0,Raw milk
134,Dairy,T,IE,2021,14010.0,Raw milk
379,Dairy,T,IE,2013,6999.0,Raw milk
380,Dairy,T,IE,2015,5972.0,Raw milk
381,Dairy,T,IE,2019,11037.0,Raw milk
382,Dairy,T,IE,2021,14010.0,Raw milk
616,Dairy,T,IE,2014,7100.0,Raw milk
617,Dairy,T,IE,2015,2359.0,Raw milk
618,Dairy,T,IE,2016,536.0,Raw milk
619,Dairy,T,IE,2017,394.0,Raw milk
620,Dairy,T,IE,2018,9316.0,Raw milk
621,Dairy,T,IE,2019,1123.0,Raw milk
622,Dairy,T,IE,2020,2827.0,Raw milk
623,Dairy,T,IE,2021,3238.0,Raw milk
